Bestellnummer,Hersteller,Werkstoff,Oesenform,d[mm] Drahtdurchmesser,De[mm] Ausserer Windungsdurchmesser,Detol[mm] (+-) Tolereanz fuer ausseren Windungsdurchmesser,Dh[mm] Kleinster Huelsendurchmesser,Oesenstellung,Oesensttol,L0[mm] Laenge unbelastete Feder,L0tol[mm] (+-) Toleranz fuer ungespannte Laenge,Lk[mm] Laenge der unbelasteten Feder,Lh[mm] Abstand der Oeseninnenkante vom Federkoerper,F0[N] Innere Vorspannkraft,Fn[N] Hoechstkraft bei statischer Belastung,Fntol[N] (+-) Toleranz bei statischer Hoechstkraft,k[N/mm] Federrate,Sn[mm] Groesster Federweg bei statischer Belastung,Masse,Preisgruppe,W[Nmm] Federungsarbeit,Ln[mm] Maximal zulaessige Laenge,Lr[mm] Relevante Laenge,Lf[mm] Freie Laenge,V[Nmm] Maximale potentielle Energie
Z-144AX,Gutekunst,EN 10270-1-SH,1/1 Deutsche Oese,2,14.5,0.3,17.8,270,38,112,2,95.5,8.25,16.7,182.5,11.12,1.785,92.92,47.35,ZJ,9254.832,204.92,102.2408964,102.6791036,9329.481793
Z-144BI,Gutekunst,EN 10270-1-SH,1/1 Deutsche Oese,2,14.5,0.3,17.8,180,40,126,2,109,8.5,16.7,182.5,10.94,1.56,106.34,53.91,ZK,10591.464,232.34,116.9871795,115.3528205,10675.08013
Z-144BX,Gutekunst,EN 10270-1-SH,1/1 Deutsche Oese,2,14.5,0.3,17.8,270,40,126,2,109.5,8.25,16.7,182.5,10.93,1.553,106.84,54.15,ZK,10641.264,232.84,117.5144881,115.3255119,10723.19704
Z-144CI,Gutekunst,EN 10270-1-SH,1/1 Deutsche Oese,2,14.5,0.3,17.8,180,43,142,2,125,8.5,16.7,182.5,10.81,1.357,122.24,61.68,ZK,12175.104,264.24,134.4878408,129.7521592,12272.01548
Z-144CX,Gutekunst,EN 10270-1-SH,1/1 Deutsche Oese,2,14.5,0.3,17.8,270,43,142,2,125.5,8.25,16.7,182.5,10.81,1.352,122.74,61.93,ZK,12224.904,264.74,134.9852071,129.7547929,12317.40015
Z-144DI,Gutekunst,EN 10270-1-SH,1/1 Deutsche Oese,2,14.5,0.3,17.8,180,46,158,2,141,8.5,16.7,182.5,10.71,1.201,138.14,69.45,ZL,13758.744,296.14,151.9567027,144.1832973,13866.04913
Z-144DX,Gutekunst,EN 10270-1-SH,1/1 Deutsche Oese,2,14.5,0.3,17.8,270,46,158,2,141.5,8.25,16.7,182.5,10.7,1.197,138.64,69.7,ZL,13808.544,296.64,152.4644946,144.1755054,13912.38513
Z-144EI,Gutekunst,EN 10270-1-SH,1/1 Deutsche Oese,2,14.5,0.3,17.8,180,49,174,2.5,157,8.5,16.7,182.5,10.61,1.077,154.04,77.23,ZL,15342.384,328.04,169.452182,158.587818,15462.51161
Z-144EX,Gutekunst,EN 10270-1-SH,1/1 Deutsche Oese,2,14.5,0.3,17.8,270,49,174,2.5,157.5,8.25,16.7,182.5,10.61,1.073,154.54,77.47,ZL,15392.184,328.54,170.083877,158.456123,15520.15377
Z-144I,Gutekunst,EN 10270-1-SH,1/1 Deutsche Oese,2,14.5,0.3,17.8,180,35,98.8,1.5,81,8.9,16.7,182.5,11.42,2.113,78.51,40.31,ZH,7819.596,177.31,86.37008992,90.93991008,7881.270705
Z-144X,Gutekunst,EN 10270-1-SH,1/1 Deutsche Oese,2,14.5,0.3,17.8,270,35,98.8,1.5,81.5,8.65,16.7,182.5,11.41,2.1,79.01,40.55,ZH,7869.396,177.81,86.9047619,90.9052381,7930.059524
Z-145I,Gutekunst,EN 10270-1-SH,1/1 Deutsche Oese,2,12,0.25,15.3,180,18,38.3,0.8,25,6.65,19.71,216.4,22.72,14.174,13.88,10.5,ZE,1638.6034,52.18,15.267391,36.912609,1651.931706
Z-145X,Gutekunst,EN 10270-1-SH,1/1 Deutsche Oese,2,12,0.25,15.3,270,18,38.3,0.8,25.5,6.4,19.71,216.4,22.56,13.872,14.18,10.69,ZE,1674.0199,52.48,15.59976932,36.88023068,1687.89504
Z-146AI,Gutekunst,EN 10270-1-SH,1/1 Deutsche Oese,2,12,0.25,15.3,180,27,66.8,1.5,53,6.9,19.71,216.4,18.46,6.392,30.78,21.4,ZG,3633.7329,97.58,33.85481852,63.72518148,3663.091364
Z-146AX,Gutekunst,EN 10270-1-SH,1/1 Deutsche Oese,2,12,0.25,15.3,270,27,66.8,1.5,53.5,6.65,19.71,216.4,18.42,6.33,31.09,21.59,ZG,3670.32995,97.89,34.1864139,63.7035861,3698.969984
Z-146I,Gutekunst,EN 10270-1-SH,1/1 Deutsche Oese,2,12,0.25,15.3,180,24,54.8,1.1,41,6.9,19.71,216.4,19.56,8.359,23.54,16.73,ZF,2779.0147,78.34,25.88826415,52.45173585,2801.110181
Z-146X,Gutekunst,EN 10270-1-SH,1/1 Deutsche Oese,2,12,0.25,15.3,270,24,54.8,1.1,41.5,6.65,19.71,216.4,19.49,8.253,23.54,16.92,ZF,2779.0147,78.34,26.22076821,52.11923179,2837.08712
Z-147AAI,Gutekunst,EN 10270-1-SH,1/1 Deutsche Oese,2,12,0.25,15.3,180,34,96.8,1.5,83,6.9,19.71,216.4,16.96,4.025,48.89,33.08,ZH,5771.70895,145.69,53.76397516,91.92602484,5817.262112
Z-147AAX,Gutekunst,EN 10270-1-SH,1/1 Deutsche Oese,2,12,0.25,15.3,270,34,96.8,1.5,83.5,6.65,19.71,216.4,16.94,4,49.19,33.27,ZH,5807.12545,145.99,54.1,91.89,5853.62
Z-147AI,Gutekunst,EN 10270-1-SH,1/1 Deutsche Oese,2,12,0.25,15.3,180,36,108,2,95,6.5,19.71,216.4,16.56,3.505,56.14,37.75,ZH,6627.6077,164.14,61.7403709,102.3996291,6680.308131
Z-147AX,Gutekunst,EN 10270-1-SH,1/1 Deutsche Oese,2,12,0.25,15.3,270,37,108,2,95.5,6.25,19.71,216.4,16.55,3.487,56.44,37.95,ZH,6663.0242,164.44,62.05907657,102.3809234,6714.792085
Z-147B-01I,Gutekunst,EN 10270-1-SH,1/1 Deutsche Oese,2,12,0.25,15.3,180,40,126,2,113,6.5,19.71,216.4,16.21,2.937,67,44.76,ZH,7909.685,193,73.68062649,119.3193735,7972.243786
Z-147B-01X,Gutekunst,EN 10270-1-SH,1/1 Deutsche Oese,2,12,0.25,15.3,270,40,126,2,113.5,6.25,19.71,216.4,16.2,2.924,67.3,44.95,ZH,7945.1015,193.3,74.00820793,119.2917921,8007.688098
Z-147BI,Gutekunst,EN 10270-1-SH,1/1 Deutsche Oese,2,12,0.25,15.3,180,39,122,2,109,6.5,19.71,216.4,16.26,3.047,64.59,43.2,ZH,7625.17245,186.59,71.02067607,115.5693239,7684.437151
Z-147BX,Gutekunst,EN 10270-1-SH,1/1 Deutsche Oese,2,12,0.25,15.3,270,39,122,2,109.5,6.25,19.71,216.4,16.25,3.033,64.89,43.4,ZH,7660.58895,186.89,71.34849984,115.5415002,7719.907682
Z-147CI,Gutekunst,EN 10270-1-SH,1/1 Deutsche Oese,2,12,0.25,15.3,180,42,138,2,125,6.5,19.71,216.4,16.06,2.65,74.24,49.43,ZH,8764.4032,212.24,81.66037736,130.5796226,8835.65283
Z-147CX,Gutekunst,EN 10270-1-SH,1/1 Deutsche Oese,2,12,0.25,15.3,270,42,138,2,125.5,6.25,19.71,216.4,16.06,2.64,74.55,49.62,ZH,8801.00025,212.55,81.96969697,130.580303,8869.121212
Z-147DI,Gutekunst,EN 10270-1-SH,1/1 Deutsche Oese,2,12,0.25,15.3,180,45,154.8,2,141,6.5,19.71,216.4,15.89,2.345,83.9,55.66,ZK,9904.8145,238.7,92.28144989,146.4185501,9984.852878
Z-147DX,Gutekunst,EN 10270-1-SH,1/1 Deutsche Oese,2,12,0.25,15.3,270,45,154.8,2,141.5,6.25,19.71,216.4,15.89,2.337,84.2,55.85,ZK,9940.231,239,92.59734703,146.402653,10019.03295
Z-147E-01I,Gutekunst,EN 10270-1-SH,1/1 Deutsche Oese,2,10,0.35,13.4,180,15,29.6,0.8,19,5.3,29.51,252.9,40.02,37.454,5.97,6.55,ZE,842.99385,35.57,6.7522828,28.8177172,853.8261601
Z-147E-01X,Gutekunst,EN 10270-1-SH,1/1 Deutsche Oese,2,10,0.35,13.4,270,15,29.6,0.8,19.5,5.05,29.51,252.9,39.51,36.384,6.14,6.705,ZE,866.9987,35.74,6.95085752,28.78914248,878.9359334
Z-147E-02I,Gutekunst,EN 10270-1-SH,1/1 Deutsche Oese,2,10,0.35,13.4,180,20,41.6,1.1,31,5.3,29.51,252.9,32.68,21.956,10.17,10.28,ZF,1436.05485,51.77,11.51849153,40.25150847,1456.513254
Z-147E-02X,Gutekunst,EN 10270-1-SH,1/1 Deutsche Oese,2,10,0.35,13.4,270,20,41.6,1.1,31.5,5.05,29.51,252.9,32.54,21.584,10.35,10.45,ZF,1461.47175,51.95,11.7170126,40.2329874,1481.616244
Z-147E-03I,Gutekunst,EN 10270-1-SH,1/1 Deutsche Oese,2,10,0.35,13.4,180,25,57.6,1.1,47,5.3,29.51,252.9,29.31,14.149,15.78,15.29,ZF,2228.2149,73.38,17.8740547,55.5059453,2260.174217
Z-147E-03X,Gutekunst,EN 10270-1-SH,1/1 Deutsche Oese,2,10,0.35,13.4,270,25,57.6,1.1,47.5,5.05,29.51,252.9,29.24,13.994,15.96,15.45,ZF,2253.6318,73.56,18.07203087,55.48796913,2285.208304
Z-147E-10I,Gutekunst,EN 10270-1-SH,1/1 Deutsche Oese,2,10,0.35,13.4,180,30,85.5,1.5,75,5.25,29.51,252.9,26,8.722,25.6,23.88,ZF,3614.848,111.1,28.9956432,82.1043568,3666.499083
Z-147E-10X,Gutekunst,EN 10270-1-SH,1/1 Deutsche Oese,2,10,0.35,13.4,270,30,85.5,1.5,75,5.25,29.51,252.9,26,8.663,25.8,23.88,ZF,3643.089,111.3,29.19312017,82.10687983,3691.470045
Z-147E-20I,Gutekunst,EN 10270-1-SH,1/1 Deutsche Oese,2.2,30,0.5,13.4,180,23,67,1.8,23.1,21.95,5.1,118,7,1.169,96.6,29.53,ZJ,5945.73,163.6,100.9409752,62.65902481,5955.517536
Z-147E-20X,Gutekunst,EN 10270-1-SH,1/1 Deutsche Oese,2.2,30,0.5,13.4,270,23,67,1.8,23.65,21.68,5.1,118,7,1.139,99.1,30.19,ZJ,6099.605,166.1,103.5996488,62.50035119,6112.37928
Z-147E-21I,Gutekunst,EN 10270-1-SH,1/1 Deutsche Oese,2.2,30,0.5,13.4,180,30,82.3,1.8,36.3,23,5.1,118,6.7,0.717,157.5,45.28,ZJ,9694.125,239.8,164.5746165,75.22538354,9709.902371
Z-147E-21X,Gutekunst,EN 10270-1-SH,1/1 Deutsche Oese,2.2,30,0.5,13.4,270,30,82.3,1.8,36.85,22.73,5.1,118,6.7,0.705,160,45.94,ZJ,9848,242.3,167.3758865,74.92411348,9875.177305
Z-147E-22I,Gutekunst,EN 10270-1-SH,1/1 Deutsche Oese,2.2,30,0.5,13.4,180,36,102,2.4,56.1,22.95,5.1,118,6.5,0.453,249,68.91,ZK,15325.95,351,260.4856512,90.51434879,15368.65342
Z-147E-22X,Gutekunst,EN 10270-1-SH,1/1 Deutsche Oese,2.2,30,0.5,13.4,270,36,102,2.4,56.65,22.68,5.1,118,6.5,0.449,251.6,69.57,ZK,15485.98,353.6,262.8062361,90.79376392,15505.56793
Z-147E-23I,Gutekunst,EN 10270-1-SH,1/1 Deutsche Oese,2.2,30,0.5,13.4,180,47,133,2.4,89.1,21.95,5.1,118,6.4,0.281,401.5,108.29,ZM,24712.325,534.5,419.9288256,114.5711744,24775.80071
Z-147E-23X,Gutekunst,EN 10270-1-SH,1/1 Deutsche Oese,2.2,30,0.5,13.4,270,47,133,2.4,89.65,21.68,5.1,118,6.4,0.279,404.1,108.94,ZM,24872.355,537.1,422.9390681,114.1609319,24953.40502
Z-147E-24I,Gutekunst,EN 10270-1-SH,1/1 Deutsche Oese,2.2,30,0.5,13.4,180,58,177,3,133.1,21.95,5.1,118,6.3,0.187,604,160.78,ZM,37176.2,781,631.0160428,149.9839572,37229.94652
Z-147E-24X,Gutekunst,EN 10270-1-SH,1/1 Deutsche Oese,2.2,30,0.5,13.4,270,58,177,3,133.65,21.68,5.1,118,6.3,0.187,607,161.44,ZM,37360.85,784,631.0160428,152.9839572,37229.94652
Z-147EI,Gutekunst,EN 10270-1-SH,1/1 Deutsche Oese,2,12,0.25,15.3,180,47,170,2.5,157,6.5,19.71,216.4,15.74,2.103,93.56,61.89,ZK,11045.2258,263.56,102.9006182,160.6593818,11133.84689
Z-147EX,Gutekunst,EN 10270-1-SH,1/1 Deutsche Oese,2,12,0.25,15.3,270,47,170,2.5,157.5,6.25,19.71,216.4,15.74,2.096,93.86,62.08,ZK,11080.6423,263.86,103.2442748,160.6157252,11171.03053
Z-147FI,Gutekunst,EN 10270-1-SH,1/1 Deutsche Oese,2.2,24,0.45,27.8,180,20,55.6,1.3,23.1,16.25,9.811,148,10.29,2.425,57.02,23.16,ZH,4499.19161,112.62,61.03092784,51.58907216,4516.28866
Z-147FX,Gutekunst,EN 10270-1-SH,1/1 Deutsche Oese,2.2,24,0.45,27.8,270,20,55.6,1.3,23.65,15.97,9.811,148,10.18,2.363,58.52,23.67,ZH,4617.54986,114.12,62.63224714,51.48775286,4634.786289
Z-147GI,Gutekunst,EN 10270-1-SH,1/1 Deutsche Oese,2.2,24,0.45,27.8,180,25,68.8,1.8,36.3,16.25,9.811,148,8.89,1.486,93.03,35.51,ZJ,7340.578665,161.83,99.59623149,62.23376851,7370.121131
Z-147GX,Gutekunst,EN 10270-1-SH,1/1 Deutsche Oese,2.2,24,0.45,27.8,270,26,68.8,1.8,36.85,15.97,9.811,148,8.86,1.463,94.53,36.02,ZJ,7458.936915,163.33,101.1619959,62.1680041,7485.987697
Z-147HI,Gutekunst,EN 10270-1-SH,1/1 Deutsche Oese,2.2,24,0.45,27.8,180,32,88.6,1.8,56.1,16.25,9.811,148,8.1,0.94,147.05,54.22,ZJ,11603.05378,235.65,157.4468085,78.20319149,11651.06383
Z-147HX,Gutekunst,EN 10270-1-SH,1/1 Deutsche Oese,2.2,24,0.45,27.8,270,32,88.6,1.8,56.65,15.97,9.811,148,8.08,0.931,148.55,54.73,ZJ,11721.41203,237.15,158.9688507,78.1811493,11763.69495
Z-147I,Gutekunst,EN 10270-1-SH,1/1 Deutsche Oese,2,12,0.25,15.3,180,34,94.8,1.5,81,6.9,19.71,216.4,17.03,4.127,47.65,32.3,ZG,5625.32075,142.45,52.43518294,90.01481706,5673.486794
Z-147JI,Gutekunst,EN 10270-1-SH,1/1 Deutsche Oese,2.2,24,0.45,27.8,180,40,122,2.4,89.1,16.45,9.811,148,7.49,0.583,237.08,84.91,ZK,18706.91594,359.08,253.8593482,105.2206518,18785.59177
Z-147JX,Gutekunst,EN 10270-1-SH,1/1 Deutsche Oese,2.2,24,0.45,27.8,270,41,122,2.4,89.65,16.17,9.811,148,7.48,0.579,238.58,85.42,ZK,18825.27419,360.58,255.6131261,104.9668739,18915.37133
Z-147K-01I,Gutekunst,EN 10270-1-SH,1/1 Deutsche Oese,2.2,20,0.45,23.8,180,31,90.9,1.8,64.9,13,14.71,176.1,9.2,1.485,108.71,50.98,ZJ,10371.47755,199.61,118.5858586,81.02414141,10441.48485
Z-147K-01X,Gutekunst,EN 10270-1-SH,1/1 Deutsche Oese,2.2,20,0.45,23.8,270,31,90.9,1.8,65.45,12.72,14.71,176.1,9.2,1.472,109.67,51.4,ZJ,10463.06635,200.57,119.6331522,80.93684783,10533.69905
Z-147K-02I,Gutekunst,EN 10270-1-SH,1/1 Deutsche Oese,2.2,20,0.45,23.8,180,36,112,2.4,86.9,12.55,14.71,176.1,9.2,1.099,146.86,67.7,ZK,14011.1783,258.86,160.2365787,98.62342129,14108.83076
Z-147K-02X,Gutekunst,EN 10270-1-SH,1/1 Deutsche Oese,2.2,20,0.45,23.8,270,36,112,2.4,87.45,12.27,14.71,176.1,9.2,1.092,147.81,68.12,ZK,14101.81305,259.81,161.2637363,98.54626374,14199.27198
Z-147K-03I,Gutekunst,EN 10270-1-SH,1/1 Deutsche Oese,2.2,20,0.45,23.8,180,40,134,2.4,108.9,12.55,14.71,176.1,9.1,0.872,185,84.42,ZL,17649.925,319,201.9495413,117.0504587,17781.65711
Z-147K-03X,Gutekunst,EN 10270-1-SH,1/1 Deutsche Oese,2.2,20,0.45,23.8,270,41,134,2.4,109.45,12.27,14.71,176.1,9.1,0.868,185.96,84.84,ZL,17741.5138,319.96,202.8801843,117.0798157,17863.60023
Z-147K-04I,Gutekunst,EN 10270-1-SH,1/1 Deutsche Oese,2.2,20,0.45,23.8,180,44,156,2.4,130.9,12.55,14.71,176.1,8.8,0.723,223.15,101.1,ZN,21289.62575,379.15,243.5684647,135.5815353,21446.20332
Z-147K-04X,Gutekunst,EN 10270-1-SH,1/1 Deutsche Oese,2.2,20,0.45,23.8,270,44,156,2.4,131.45,12.27,14.71,176.1,8.79,0.72,224.1,101.5,ZN,21380.2605,380.1,244.5833333,135.5166667,21535.5625
Z-147K-20I,Gutekunst,EN 10270-1-SH,1/1 Deutsche Oese,2.2,20,0.45,23.8,180,17,51.5,1.3,25.3,13.1,14.71,176.1,10,4.03,40,20.59,ZJ,3816.2,91.5,43.69727047,47.80272953,3847.544665
Z-147K-20X,Gutekunst,EN 10270-1-SH,1/1 Deutsche Oese,2.2,20,0.45,23.8,270,17,51.5,1.3,25.85,12.83,14.71,176.1,10,3.936,41,21.01,ZJ,3911.605,92.5,44.74085366,47.75914634,3939.432165
Z-147K-21I,Gutekunst,EN 10270-1-SH,1/1 Deutsche Oese,2.2,20,0.45,23.8,180,25,75.5,1.8,49.5,13,14.71,176.1,9.4,1.968,82,39.08,ZJ,7823.21,157.5,89.48170732,68.01829268,7878.864329
Z-147K-21X,Gutekunst,EN 10270-1-SH,1/1 Deutsche Oese,2.2,20,0.45,23.8,270,25,75.5,1.8,50.05,12.73,14.71,176.1,9.4,1.964,83,39.5,ZJ,7918.615,158.5,89.66395112,68.83604888,7894.910896
Z-147KI,Gutekunst,EN 10270-1-SH,1/1 Deutsche Oese,2.2,24,0.45,27.8,180,50,166,3,133.1,16.45,9.811,148,7.14,0.387,357.12,126.08,ZM,28178.73216,523.12,382.4289406,140.6910594,28299.7416
Z-147KX,Gutekunst,EN 10270-1-SH,1/1 Deutsche Oese,2.2,24,0.45,27.8,270,50,166,3,133.65,16.17,9.811,148,7.14,0.386,358.62,126.6,ZM,28297.09041,524.62,383.4196891,141.2003109,28373.05699
Z-147LI,Gutekunst,EN 10270-1-SH,1/1 Deutsche Oese,2.2,15,0.3,18.6,180,17,41.2,1.1,23.1,9.05,20.81,229.9,21.49,11.979,17.46,13.6,ZF,2188.6983,58.66,19.19191919,39.46808081,2206.111111
Z-147LX,Gutekunst,EN 10270-1-SH,1/1 Deutsche Oese,2.2,15,0.3,18.6,270,17,41.2,1.1,23.65,8.77,20.81,229.9,21.25,11.671,17.92,13.9,ZF,2246.3616,59.12,19.69839774,39.42160226,2264.33082
Z-147MI,Gutekunst,EN 10270-1-SH,1/1 Deutsche Oese,2.2,15,0.3,18.6,180,21,54.4,1.1,36.3,9.05,20.81,229.9,18.37,7.342,28.49,20.85,ZG,3571.36395,82.89,31.31299373,51.57700627,3599.42863
Z-147MX,Gutekunst,EN 10270-1-SH,1/1 Deutsche Oese,2.2,15,0.3,18.6,270,22,54.4,1.1,36.85,8.77,20.81,229.9,18.3,7.225,28.95,21.15,ZG,3629.02725,83.35,31.8200692,51.5299308,3657.716955
Z-147NI,Gutekunst,EN 10270-1-SH,1/1 Deutsche Oese,2.2,15,0.3,18.6,180,27,74.2,1.5,56.1,9.05,20.81,229.9,16.59,4.645,45.03,31.9,ZG,5644.73565,119.23,49.49407966,69.73592034,5689.344456
Z-147NX,Gutekunst,EN 10270-1-SH,1/1 Deutsche Oese,2.2,15,0.3,18.6,270,27,74.2,1.5,56.65,8.77,20.81,229.9,16.56,4.598,45.49,32.2,ZG,5702.39895,119.69,50,69.69,5747.5
Z-147OI,Gutekunst,EN 10270-1-SH,1/1 Deutsche Oese,2.2,15,0.3,18.6,180,34,107,2,89.1,8.95,20.81,229.9,15.23,2.881,72.6,49.97,ZJ,9100.773,179.6,79.79868101,99.80131899,9172.858383
Z-147OX,Gutekunst,EN 10270-1-SH,1/1 Deutsche Oese,2.2,15,0.3,18.6,270,34,107,2,89.65,8.67,20.81,229.9,15.21,2.863,73.06,50.27,ZJ,9158.4363,180.06,80.30038421,99.75961579,9230.529165
Z-147PI,Gutekunst,EN 10270-1-SH,1/1 Deutsche Oese,2.2,15,0.3,18.6,180,42,151,2,133.1,8.95,20.81,229.9,14.45,1.913,109.36,74.06,ZK,13708.8228,260.36,120.1777313,140.1822687,13814.43021
Z-147PX,Gutekunst,EN 10270-1-SH,1/1 Deutsche Oese,2.2,15,0.3,18.6,270,42,151,2,133.65,8.67,20.81,229.9,14.44,1.905,109.82,74.36,ZK,13766.4861,260.82,120.6824147,140.1375853,13872.44357
Z-147QI,Gutekunst,EN 10270-1-SH,1/1 Deutsche Oese,2.2,11,0.35,14.7,180,16,34.8,0.8,23.1,5.85,31.41,301.2,44.82,36.863,7.32,9.35,ZF,1217.3526,42.12,8.170794564,33.94920544,1230.521661
Z-147QX,Gutekunst,EN 10270-1-SH,1/1 Deutsche Oese,2.2,11,0.35,14.7,270,16,34.8,0.8,23.65,5.57,31.41,301.2,44.29,35.917,7.52,9.754,ZF,1250.6136,42.32,8.386001058,33.93399894,1262.931759
Z-147RI,Gutekunst,EN 10270-1-SH,1/1 Deutsche Oese,2.2,11,0.35,14.7,180,20,48,1.1,36.3,5.85,31.41,301.2,37.85,22.593,11.95,14.53,ZF,1987.34475,59.95,13.33156287,46.61843713,2007.733369
Z-147RX,Gutekunst,EN 10270-1-SH,1/1 Deutsche Oese,2.2,11,0.35,14.7,270,21,48,1.1,36.85,5.57,31.41,301.2,37.7,22.235,12.14,14.74,ZF,2018.9427,60.14,13.54621093,46.59378907,2040.059366
Z-147SI,Gutekunst,EN 10270-1-SH,1/1 Deutsche Oese,2.2,11,0.35,14.7,180,26,67.8,1.5,56.1,5.85,31.41,301.2,33.88,14.294,18.87,22.01,ZG,3138.17535,86.67,21.07177837,65.59822163,3173.409822
Z-147SX,Gutekunst,EN 10270-1-SH,1/1 Deutsche Oese,2.2,11,0.35,14.7,270,26,67.8,1.5,56.65,5.57,31.41,301.2,33.8,14.149,19.06,22.22,ZG,3169.7733,86.86,21.28772351,65.57227649,3205.931161
Z-147TI,Gutekunst,EN 10270-1-SH,1/1 Deutsche Oese,2.2,11,0.35,14.7,180,33,101,2,89.1,5.95,31.41,301.2,30.84,8.866,30.43,34.28,ZJ,5060.66115,131.43,33.97247913,97.45752087,5116.255358
Z-147TX,Gutekunst,EN 10270-1-SH,1/1 Deutsche Oese,2.2,11,0.35,14.7,270,33,101,2,89.65,5.67,31.41,301.2,30.8,8.81,30.62,34.49,ZJ,5092.2591,131.62,34.18842225,97.43157775,5148.77639
Z-147UI,Gutekunst,EN 10270-1-SH,1/1 Deutsche Oese,2.2,11,0.35,14.7,180,40,145,2,133.1,5.95,31.41,301.2,29.09,5.886,45.83,50.9,ZK,7621.75815,190.83,51.17227319,139.6577268,7706.544343
Z-147UX,Gutekunst,EN 10270-1-SH,1/1 Deutsche Oese,2.2,11,0.35,14.7,270,40,145,2,133.65,5.67,31.41,301.2,29.08,5.861,46.03,51.1,ZK,7655.01915,191.03,51.39054769,139.6394523,7739.416482
Z-147X,Gutekunst,EN 10270-1-SH,1/1 Deutsche Oese,2,12,0.25,15.3,270,34,94.8,1.5,81.5,6.65,19.71,216.4,17.01,4.101,47.96,32.49,ZG,5661.9178,142.76,52.76761765,89.99238235,5709.45623
Z-148I,Gutekunst,EN 10270-1-SH,1/1 Deutsche Oese,2.5,34.5,0.6,38.9,180,26,79.7,1.8,31.25,24.22,9.881,148.5,10.36,1.056,131.33,51.7,ZJ,10400.08837,211.03,140.625,70.405,10441.40625
Z-148X,Gutekunst,EN 10270-1-SH,1/1 Deutsche Oese,2.5,34.5,0.6,38.9,270,26,79.7,1.8,31.88,23.91,9.881,148.5,10.29,1.034,134.19,52.68,ZJ,10626.5732,213.89,143.6170213,70.27297872,10663.56383
Z-149I,Gutekunst,EN 10270-1-SH,1/1 Deutsche Oese,2.5,34.5,0.6,38.9,180,38,112,2.4,63.75,24.12,9.881,148.5,8.64,0.496,279.79,102.42,ZM,22156.71,391.79,299.3951613,92.39483871,22230.09073
Z-149X,Gutekunst,EN 10270-1-SH,1/1 Deutsche Oese,2.5,34.5,0.6,38.9,270,38,112,2.4,64.38,23.81,9.881,148.5,8.63,0.491,282.65,103.6,ZM,22383.19483,394.65,302.4439919,92.20600815,22456.4664
Z-150AI,Gutekunst,EN 10270-1-SH,1/1 Deutsche Oese,2.5,34.5,0.6,38.9,180,56,184,3,136.25,23.87,9.881,148.5,7.66,0.227,610.97,215.56,ZP,48383.01979,794.97,654.185022,140.784978,48573.23789
Z-150AX,Gutekunst,EN 10270-1-SH,1/1 Deutsche Oese,2.5,34.5,0.6,38.9,270,56,184,3,136.88,23.56,9.881,148.5,7.66,0.226,613.83,216.57,ZP,48609.50462,797.83,657.079646,140.750354,48788.16372
Z-150I,Gutekunst,EN 10270-1-SH,1/1 Deutsche Oese,2.5,34.5,0.6,38.9,180,48,149,2.4,101.25,23.87,9.881,148.5,7.98,0.307,451.09,160.8,ZP,35722.04265,600.09,483.713355,116.376645,35915.71661
Z-150X,Gutekunst,EN 10270-1-SH,1/1 Deutsche Oese,2.5,34.5,0.6,38.9,270,48,149,2.4,101.88,23.56,9.881,148.5,7.97,0.306,453.95,161.8,ZP,35948.52748,602.95,485.2941176,117.6558824,36033.08824
Z-151AI,Gutekunst,EN 10270-1-SH,1/1 Deutsche Oese,2.5,27.5,0.45,31.7,180,23,71,1.8,33.75,18.62,13.71,184.9,11.66,2.037,84.03,43.44,ZK,8344.59915,155.03,90.77074129,64.25925871,8391.755032
Z-151AX,Gutekunst,EN 10270-1-SH,1/1 Deutsche Oese,2.5,27.5,0.45,31.7,270,23,71,1.8,34.38,18.31,13.71,184.9,11.59,1.99,85.71,44.21,ZK,8511.43155,156.71,92.91457286,63.79542714,8589.952261
Z-151I,Gutekunst,EN 10270-1-SH,1/1 Deutsche Oese,2.5,27.5,0.45,31.7,180,22,68.5,1.8,31.25,18.62,13.71,184.9,11.96,2.215,77.31,40.39,ZH,7677.26955,145.81,83.47629797,62.33370203,7717.383747
Z-151X,Gutekunst,EN 10270-1-SH,1/1 Deutsche Oese,2.5,27.5,0.45,31.7,270,22,68.5,1.8,31.88,18.31,13.71,184.9,11.88,2.168,78.99,41.16,ZH,7844.10195,147.49,85.28597786,62.20402214,7884.688653
Z-152I,Gutekunst,EN 10270-1-SH,1/1 Deutsche Oese,2.5,27.5,0.45,31.7,180,32,101,2.4,63.75,18.62,13.71,184.9,10.03,1.04,164.71,80.02,ZL,16356.52655,265.71,177.7884615,87.92153846,16436.54327
Z-152X,Gutekunst,EN 10270-1-SH,1/1 Deutsche Oese,2.5,27.5,0.45,31.7,270,32,101,2.4,64.38,18.31,13.71,184.9,10.01,1.029,166.39,80.79,ZL,16523.35895,267.39,179.6890185,87.70098154,16612.24976
Z-153AI,Gutekunst,EN 10270-1-SH,1/1 Deutsche Oese,2.5,27.5,0.45,31.7,180,44,156,2.4,118.75,18.62,13.71,184.9,9.05,0.548,312.61,146.9,ZN,31043.73605,468.61,337.4087591,131.2012409,31193.43978
