Bestellnummer,Hersteller,Werkstoff,Oesenform,d[mm] Drahtdurchmesser,De[mm] Ausserer Windungsdurchmesser,Detol[mm] (+-) Tolereanz fuer ausseren Windungsdurchmesser,Dh[mm] Kleinster Huelsendurchmesser,Oesenstellung,Oesensttol,L0[mm] Laenge unbelastete Feder,L0tol[mm] (+-) Toleranz fuer ungespannte Laenge,Lk[mm] Laenge der unbelasteten Feder,Lh[mm] Abstand der Oeseninnenkante vom Federkoerper,F0[N] Innere Vorspannkraft,Fn[N] Hoechstkraft bei statischer Belastung,Fntol[N] (+-) Toleranz bei statischer Hoechstkraft,k[N/mm] Federrate,Sn[mm] Groesster Federweg bei statischer Belastung,Masse,Preisgruppe,W[Nmm] Federungsarbeit,Ln[mm] Maximal zulaessige Laenge,Lr[mm] Relevante Laenge,Lf[mm] Freie Laenge,V[Nmm] Maximale potentielle Energie
RZ-010I,Gutekunst,EN 10270-3-1.4310,1/1 Deutsche Oese,0.25,2.75,0.15,3.3,180,22,6.8,0.6,3.12,1.83,0.141,2.061,0.21,0.191,10.11,0.04,ZG,11.13111,16.91,10.79057592,6.119424084,11.11968848
RZ-010X,Gutekunst,EN 10270-3-1.4310,1/1 Deutsche Oese,0.25,2.75,0.15,3.3,270,22,6.8,0.6,3.19,1.8,0.141,2.061,0.21,0.186,10.33,0.041,ZG,11.37333,17.13,11.08064516,6.049354839,11.41860484
RZ-011I,Gutekunst,EN 10270-3-1.4310,1/1 Deutsche Oese,0.25,2.75,0.15,3.3,180,32,10.1,0.6,6.38,1.86,0.141,2.061,0.18,0.089,21.53,0.08,ZG,23.70453,31.63,23.15730337,8.472696629,23.86360112
RZ-011X,Gutekunst,EN 10270-3-1.4310,1/1 Deutsche Oese,0.25,2.75,0.15,3.3,270,32,10.1,0.6,6.44,1.83,0.141,2.061,0.18,0.088,21.75,0.081,ZG,23.94675,31.85,23.42045455,8.429545455,24.13477841
RZ-012AI,Gutekunst,EN 10270-3-1.4310,1/1 Deutsche Oese,0.25,2.75,0.15,3.3,180,44,15.6,0.6,11.88,1.86,0.141,2.061,0.16,0.047,40.87,0.147,ZG,44.99787,56.47,43.85106383,12.61893617,45.18852128
RZ-012AX,Gutekunst,EN 10270-3-1.4310,1/1 Deutsche Oese,0.25,2.75,0.15,3.3,270,44,15.6,0.6,11.91,1.83,0.141,2.061,0.16,0.047,41.09,0.147,ZG,45.24009,56.69,43.85106383,12.83893617,45.18852128
RZ-012BI,Gutekunst,EN 10270-3-1.4310,1/1 Deutsche Oese,0.25,2.75,0.15,3.3,180,47,17.3,0.7,13.63,1.83,0.141,2.061,0.15,0.041,47.02,0.169,ZG,51.76902,64.32,50.26829268,14.05170732,51.80147561
RZ-012BX,Gutekunst,EN 10270-3-1.4310,1/1 Deutsche Oese,0.25,2.75,0.15,3.3,270,47,17.3,0.7,13.69,1.8,0.141,2.061,0.15,0.041,47.24,0.169,ZG,52.01124,64.54,50.26829268,14.27170732,51.80147561
RZ-012CI,Gutekunst,EN 10270-3-1.4310,1/1 Deutsche Oese,0.25,2.75,0.15,3.3,180,51,19.3,0.7,15.63,1.83,0.141,2.061,0.15,0.036,54.05,0.193,ZG,59.50905,73.35,57.25,16.1,58.996125
RZ-012CX,Gutekunst,EN 10270-3-1.4310,1/1 Deutsche Oese,0.25,2.75,0.15,3.3,270,51,19.3,0.7,15.69,1.8,0.141,2.061,0.15,0.035,54.27,0.194,ZG,59.75127,73.57,58.88571429,14.68428571,60.68172857
