Bestellnummer,Hersteller,k[N/mm] Federrate,Masse,Lr[mm] Relevante Laenge,V[Nmm] Maximale potentielle Energie,Fn[N] Hoechstkraft bei statischer Belastung,De[mm] Ausserer Windungsdurchmesser,d[mm] Drahtdurchmesser
RZ-024AKI,Gutekunst,0.013,1.262,250.0769231,406.5000385,3.251,7,0.4
RZ-024AKX,Gutekunst,0.013,1.267,250.0769231,406.5000385,3.251,7,0.4
RZ-024AX,Gutekunst,0.126,0.242,32.62698413,67.06476587,4.111,2.82,0.32
RZ-024BI,Gutekunst,0.11,0.276,37.37272727,76.81964091,4.111,2.82,0.32
RZ-024BX,Gutekunst,0.109,0.277,37.71559633,77.52440826,4.111,2.82,0.32
RZ-024CI,Gutekunst,0.096,0.316,42.82291667,88.02250521,4.111,2.82,0.32
RZ-024CX,Gutekunst,0.095,0.317,43.27368421,88.94905789,4.111,2.82,0.32
RZ-024DI,Gutekunst,0.085,0.356,48.36470588,99.41365294,4.111,2.82,0.32
RZ-024DX,Gutekunst,0.084,0.357,48.94047619,100.5971488,4.111,2.82,0.32
RZ-024EI,Gutekunst,0.076,0.396,54.09210526,111.1863224,4.111,2.82,0.32
RZ-024EX,Gutekunst,0.075,0.397,54.81333333,112.6688067,4.111,2.82,0.32
RZ-024FI,Gutekunst,2.511,0.027,2.059338909,5.324420749,5.171,2.2,0.32
RZ-024FX,Gutekunst,2.401,0.028,2.153685964,5.56835506,5.171,2.2,0.32
RZ-024GI,Gutekunst,1.454,0.042,3.556396149,9.195062242,5.171,2.2,0.32
RZ-024GX,Gutekunst,1.416,0.043,3.651836158,9.441822387,5.171,2.2,0.32
RZ-024HI,Gutekunst,0.891,0.065,5.80359147,15.00518575,5.171,2.2,0.32
RZ-024HX,Gutekunst,0.877,0.066,5.896237172,15.24472121,5.171,2.2,0.32
RZ-024I,Gutekunst,0.149,0.206,27.59060403,56.71248658,4.111,2.82,0.32
RZ-024JI,Gutekunst,0.564,0.099,9.168439716,23.70500089,5.171,2.2,0.32
RZ-024JX,Gutekunst,0.558,0.1,9.26702509,23.95989337,5.171,2.2,0.32
RZ-024KI,Gutekunst,0.35,0.155,14.77428571,38.19891571,5.171,2.2,0.32
RZ-024KX,Gutekunst,0.347,0.156,14.90201729,38.52916571,5.171,2.2,0.32
RZ-024LI,Gutekunst,0.232,0.23,22.2887931,57.62767457,5.171,2.2,0.32
RZ-024LX,Gutekunst,0.231,0.231,22.38528139,57.87714502,5.171,2.2,0.32
RZ-024MI,Gutekunst,0.149,0.103,18.73154362,26.13986913,2.791,6,0.36
RZ-024MX,Gutekunst,0.142,0.107,19.65492958,27.42845423,2.791,6,0.36
RZ-024NI,Gutekunst,0.086,0.16,32.45348837,45.28884302,2.791,6,0.36
RZ-024NX,Gutekunst,0.084,0.164,33.22619048,46.36714881,2.791,6,0.36
RZ-024OI,Gutekunst,0.053,0.246,52.66037736,73.4875566,2.791,6,0.36
