Bestellnummer,Hersteller,k[N/mm] Federrate,Masse,Lr[mm] Relevante Laenge,V[Nmm] Maximale potentielle Energie,Fn[N] Hoechstkraft bei statischer Belastung,De[mm] Ausserer Windungsdurchmesser,d[mm] Drahtdurchmesser
Z-202AX,Gutekunst,15.71,140.472,48.73965627,18659.9774,765.7,24,4
Z-202I,Gutekunst,24.148,95.209,31.70863011,12139.64904,765.7,24,4
Z-202X,Gutekunst,23.709,96.77,32.29575267,12364.42891,765.7,24,4
Z-203I,Gutekunst,11.855,182.614,64.58878111,24727.81485,765.7,24,4
Z-203X,Gutekunst,11.748,184.175,65.17705141,24953.03413,765.7,24,4
Z-204I,Gutekunst,8.049,263.776,95.12982979,36420.45534,765.7,24,4
Z-204X,Gutekunst,8,265.337,95.7125,36643.53063,765.7,24,4
Z-2051I,Gutekunst,0.036,0.049,35.02777778,22.08501389,1.261,3,0.2
Z-2051X,Gutekunst,0.036,0.049,35.02777778,22.08501389,1.261,3,0.2
Z-2052I,Gutekunst,0.017,0.097,74.17647059,46.76826471,1.261,3,0.2
Z-2052X,Gutekunst,0.017,0.097,74.17647059,46.76826471,1.261,3,0.2
Z-2053I,Gutekunst,0.012,0.144,105.0833333,66.25504167,1.261,3,0.2
Z-2053X,Gutekunst,0.011,0.145,114.6363636,72.27822727,1.261,3,0.2
Z-2054I,Gutekunst,0.009,0.192,140.1111111,88.34005556,1.261,3,0.2
Z-2054X,Gutekunst,0.009,0.193,140.1111111,88.34005556,1.261,3,0.2
Z-205I,Gutekunst,7.011,301.235,109.2140921,41812.61518,765.7,24,4
Z-205X,Gutekunst,6.973,302.796,109.8092643,42040.47684,765.7,24,4
Z-206I,Gutekunst,6.093,344.938,125.6688003,48112.30018,765.7,24,4
Z-206X,Gutekunst,6.065,346.498,126.2489695,48334.41797,765.7,24,4
Z-207I,Gutekunst,5.301,394.883,144.4444444,55300.55556,765.7,24,4
Z-207X,Gutekunst,5.279,396.444,145.0464103,55531.01819,765.7,24,4
Z-208I,Gutekunst,4.691,444.829,163.2274568,62491.63185,765.7,24,4
Z-208X,Gutekunst,4.674,446.39,163.8211382,62718.92276,765.7,24,4
Z-209AI,Gutekunst,1.96,312.458,223.4693878,48939.79592,438,60,4.5
Z-209AX,Gutekunst,1.92,317.964,228.125,49959.375,438,60,4.5
Z-209BI,Gutekunst,1.19,487.873,368.0672269,80606.72269,438,60,4.5
Z-209BX,Gutekunst,1.18,493.379,371.1864407,81289.83051,438,60,4.5
Z-209CI,Gutekunst,0.89,641.361,492.1348315,107777.5281,438,60,4.5
Z-209CX,Gutekunst,0.88,649.79,497.7272727,109002.2727,438,60,4.5
Z-209DI,Gutekunst,0.73,772.922,600,131400,438,60,4.5
Z-209DX,Gutekunst,0.72,778.428,608.3333333,133225,438,60,4.5
Z-209EI,Gutekunst,0.6,926.41,730,159870,438,60,4.5
Z-209EX,Gutekunst,0.6,931.916,730,159870,438,60,4.5
Z-209GI,Gutekunst,0.53,1057.971,826.4150943,180984.9057,438,60,4.5
Z-209GX,Gutekunst,0.52,1063.477,842.3076923,184465.3846,438,60,4.5
Z-209HI,Gutekunst,0.46,1211.459,952.173913,208526.087,438,60,4.5
Z-209HX,Gutekunst,0.45,1216.965,973.3333333,213160,438,60,4.5
Z-209I,Gutekunst,4.206,494.775,182.0494532,69697.63314,765.7,24,4
Z-209JI,Gutekunst,0.39,1386.873,1123.076923,245953.8462,438,60,4.5
Z-209JX,Gutekunst,0.39,1392.38,1123.076923,245953.8462,438,60,4.5
Z-209KI,Gutekunst,0.35,1562.288,1251.428571,274062.8571,438,60,4.5
Z-209KX,Gutekunst,0.35,1567.794,1251.428571,274062.8571,438,60,4.5
Z-209LI,Gutekunst,3.55,256.159,149.943662,39907.50563,532.3,50,4.5
Z-209LX,Gutekunst,3.48,260.673,152.9597701,40710.24282,532.3,50,4.5
Z-209MI,Gutekunst,2.16,399.967,246.4351852,65588.72454,532.3,50,4.5
Z-209MX,Gutekunst,2.14,404.481,248.7383178,66201.70327,532.3,50,4.5
Z-209X,Gutekunst,4.193,496.336,182.6138803,69913.72406,765.7,24,4
Z-210I,Gutekunst,1.613,525.8,330.0061996,87831.15003,532.3,50,4.5
Z-210X,Gutekunst,1.598,532.711,333.1038798,88655.59762,532.3,50,4.5
Z-211I,Gutekunst,1.324,633.656,402.0392749,107002.753,532.3,50,4.5
Z-211X,Gutekunst,1.314,638.17,405.0989346,107817.0814,532.3,50,4.5
Z-212I,Gutekunst,1.095,759.489,486.1187215,129380.4977,532.3,50,4.5
Z-212X,Gutekunst,1.088,764.003,489.2463235,130212.909,532.3,50,4.5
Z-213I,Gutekunst,0.954,867.345,557.966457,148502.7725,532.3,50,4.5
Z-213X,Gutekunst,0.949,871.859,560.9062171,149285.1897,532.3,50,4.5
Z-214I,Gutekunst,0.829,993.178,642.0989144,170894.6261,532.3,50,4.5
Z-214X,Gutekunst,0.825,997.692,645.2121212,171723.2061,532.3,50,4.5
Z-215I,Gutekunst,0.721,1136.986,738.2801664,196493.2663,532.3,50,4.5
Z-215X,Gutekunst,0.718,1141.5,741.3649025,197314.2688,532.3,50,4.5
Z-216HI,Gutekunst,7.47,199.86,88.1124498,28997.80723,658.2,40,4.5
Z-216HX,Gutekunst,7.32,203.382,89.91803279,29592.02459,658.2,40,4.5
Z-216I,Gutekunst,0.638,1280.795,834.3260188,222055.8699,532.3,50,4.5
Z-216JI,Gutekunst,4.56,312.063,144.3421053,47502.98684,658.2,40,4.5
Z-216JX,Gutekunst,4.5,315.584,146.2666667,48136.36,658.2,40,4.5
Z-216X,Gutekunst,0.636,1285.309,836.9496855,222754.1588,532.3,50,4.5
Z-217I,Gutekunst,3.395,410.24,193.8733432,63803.71723,658.2,40,4.5
Z-217X,Gutekunst,3.365,413.762,195.6017831,64372.54681,658.2,40,4.5
Z-218I,Gutekunst,2.787,494.391,236.1679225,77722.86329,658.2,40,4.5
Z-218X,Gutekunst,2.767,497.913,237.8749548,78284.64763,658.2,40,4.5
Z-219I,Gutekunst,2.306,592.568,285.4293148,93934.78751,658.2,40,4.5
Z-219X,Gutekunst,2.291,596.09,287.2981231,94549.81231,658.2,40,4.5
Z-220I,Gutekunst,2.008,676.72,327.7888446,107875.3088,658.2,40,4.5
Z-220X,Gutekunst,1.997,680.242,329.5943916,108469.5143,658.2,40,4.5
Z-221I,Gutekunst,1.745,774.897,377.1919771,124133.8797,658.2,40,4.5
Z-221X,Gutekunst,1.737,778.419,378.9291883,124705.5959,658.2,40,4.5
Z-222I,Gutekunst,1.518,887.099,433.5968379,142696.7194,658.2,40,4.5
Z-222X,Gutekunst,1.512,890.621,435.3174603,143262.9762,658.2,40,4.5
Z-223HI,Gutekunst,20.15,143.562,42.61538462,18296.91538,858.7,30,4.5
Z-223HX,Gutekunst,19.76,146.092,43.45647773,18658.03871,858.7,30,4.5
Z-223I,Gutekunst,1.344,999.302,489.7321429,161170.8482,658.2,40,4.5
Z-223JI,Gutekunst,12.29,224.158,69.86981286,29998.60415,858.7,30,4.5
Z-223JX,Gutekunst,12.14,226.688,70.73311367,30369.26236,858.7,30,4.5
Z-223X,Gutekunst,1.339,1002.824,491.5608663,161772.6811,658.2,40,4.5
Z-224I,Gutekunst,9.161,294.679,93.73430848,40244.82535,858.7,30,4.5
Z-224X,Gutekunst,9.079,297.209,94.58090098,40608.30984,858.7,30,4.5
Z-225I,Gutekunst,7.521,355.126,114.1736471,49020.45539,858.7,30,4.5
Z-225X,Gutekunst,7.465,357.656,115.0301407,49388.19089,858.7,30,4.5
Z-226I,Gutekunst,6.221,425.648,138.0324707,59264.24128,858.7,30,4.5
Z-226X,Gutekunst,6.183,428.178,138.8808022,59628.47242,858.7,30,4.5
Z-227I,Gutekunst,5.418,486.095,158.4902178,68047.77501,858.7,30,4.5
Z-227X,Gutekunst,5.389,488.625,159.3431063,68413.9627,858.7,30,4.5
Z-228I,Gutekunst,4.709,556.616,182.3529412,78293.23529,858.7,30,4.5
Z-228X,Gutekunst,4.687,559.146,183.2088756,78660.73074,858.7,30,4.5
Z-229I,Gutekunst,4.097,637.212,209.5923847,89988.49036,858.7,30,4.5
Z-229X,Gutekunst,4.08,639.742,210.4656863,90363.4424,858.7,30,4.5
Z-230HI,Gutekunst,38.79,115.412,25.98607889,13096.98376,1008,25,4.5
Z-230HX,Gutekunst,38.03,117.446,26.50539048,13358.7168,1008,25,4.5
Z-230I,Gutekunst,3.625,717.808,236.8827586,101705.6124,858.7,30,4.5
Z-230JI,Gutekunst,23.65,180.205,42.62156448,21481.2685,1008,25,4.5
Z-230JX,Gutekunst,23.37,182.239,43.1322208,21738.63928,1008,25,4.5
Z-230X,Gutekunst,3.612,720.338,237.7353267,102071.6625,858.7,30,4.5
Z-231I,Gutekunst,17.633,236.899,57.16554188,28811.43311,1008,25,4.5
Z-231X,Gutekunst,17.424,238.933,57.85123967,29157.02479,1008,25,4.5
Z-232I,Gutekunst,14.475,285.494,69.6373057,35097.20207,1008,25,4.5
Z-232X,Gutekunst,14.368,287.527,70.155902,35358.57461,1008,25,4.5
Z-233I,Gutekunst,11.973,342.187,84.18942621,42431.47081,1008,25,4.5
Z-233X,Gutekunst,11.899,344.221,84.71300109,42695.35255,1008,25,4.5
Z-234I,Gutekunst,10.428,390.782,96.66283084,48718.06674,1008,25,4.5
Z-234X,Gutekunst,10.372,392.816,97.18472811,48981.10297,1008,25,4.5
Z-235I,Gutekunst,9.064,447.476,111.2091792,56049.4263,1008,25,4.5
Z-235X,Gutekunst,9.021,449.51,111.739275,56316.59461,1008,25,4.5
Z-236I,Gutekunst,7.885,512.269,127.8376665,64430.18389,1008,25,4.5
Z-236X,Gutekunst,7.853,514.302,128.3585891,64692.72889,1008,25,4.5
Z-237I,Gutekunst,6.977,577.062,144.4747026,72815.25011,1008,25,4.5
Z-237X,Gutekunst,6.952,579.095,144.9942463,73077.10012,1008,25,4.5
Z-238AI,Gutekunst,3.06,382.275,191.1764706,55919.11765,585,60,5
Z-238AX,Gutekunst,3,388.982,195,57037.5,585,60,5
Z-238BI,Gutekunst,1.86,596.885,314.516129,91995.96774,585,60,5
Z-238BX,Gutekunst,1.84,603.592,317.9347826,92995.92391,585,60,5
Z-238CI,Gutekunst,1.39,784.67,420.8633094,123102.518,585,60,5
Z-238CX,Gutekunst,1.38,791.376,423.9130435,123994.5652,585,60,5
Z-238DI,Gutekunst,1.14,945.628,513.1578947,150098.6842,585,60,5
Z-238DX,Gutekunst,1.13,952.334,517.699115,151426.9912,585,60,5
Z-238EI,Gutekunst,0.94,1133.412,622.3404255,182034.5745,585,60,5
Z-238EX,Gutekunst,0.94,1140.118,622.3404255,182034.5745,585,60,5
Z-238GI,Gutekunst,0.82,1294.37,713.4146341,208673.7805,585,60,5
Z-238GX,Gutekunst,0.82,1301.076,713.4146341,208673.7805,585,60,5
Z-238HI,Gutekunst,0.72,1482.154,812.5,237656.25,585,60,5
Z-238HX,Gutekunst,0.71,1488.86,823.943662,241003.5211,585,60,5
Z-238JI,Gutekunst,0.62,1696.764,943.5483871,275987.9032,585,60,5
Z-238JX,Gutekunst,0.62,1703.471,943.5483871,275987.9032,585,60,5
Z-238KI,Gutekunst,0.55,1911.375,1063.636364,311113.6364,585,60,5
Z-238KX,Gutekunst,0.55,1918.082,1063.636364,311113.6364,585,60,5
Z-239AI,Gutekunst,3.41,488.361,207.5953079,73478.35924,707.9,50,5
Z-239AX,Gutekunst,3.36,493.848,210.6845238,74571.7872,707.9,50,5
Z-239I,Gutekunst,5.59,312.77,126.6368515,44823.1136,707.9,50,5
Z-239X,Gutekunst,5.48,318.258,129.1788321,45722.84763,707.9,50,5
Z-240I,Gutekunst,2.541,642.003,278.5911059,98607.32192,707.9,50,5
Z-240X,Gutekunst,2.518,647.49,281.1358221,99508.02423,707.9,50,5
Z-241I,Gutekunst,2.086,773.695,339.3576222,120115.6304,707.9,50,5
Z-241X,Gutekunst,2.07,779.183,341.9806763,121044.0604,707.9,50,5
Z-242I,Gutekunst,1.725,927.337,410.3768116,145252.8725,707.9,50,5
Z-242X,Gutekunst,1.715,932.824,412.7696793,146099.828,707.9,50,5
Z-243I,Gutekunst,1.503,1059.03,470.9913506,166707.3886,707.9,50,5
Z-243X,Gutekunst,1.495,1064.517,473.5117057,167599.4682,707.9,50,5
Z-244I,Gutekunst,1.306,1212.671,542.0367534,191853.9089,707.9,50,5
Z-244X,Gutekunst,1.3,1218.159,544.5384615,192739.3885,707.9,50,5
Z-245I,Gutekunst,1.136,1388.262,623.1514085,220564.441,707.9,50,5
Z-245X,Gutekunst,1.132,1393.749,625.3533569,221343.8207,707.9,50,5
Z-246HI,Gutekunst,11.88,243.266,73.52693603,32112.88931,873.5,40,5
Z-246HX,Gutekunst,11.64,247.534,75.04295533,32775.01074,873.5,40,5
Z-246I,Gutekunst,1.005,1563.852,704.3781095,249314.6318,707.9,50,5
Z-246JI,Gutekunst,7.24,379.836,120.6491713,52693.52555,873.5,40,5
Z-246JX,Gutekunst,7.15,384.104,122.1678322,53356.8007,873.5,40,5
Z-246X,Gutekunst,1.002,1569.339,706.4870259,250061.0828,707.9,50,5
Z-247I,Gutekunst,5.4,499.335,161.7592593,70648.35648,873.5,40,5
Z-247X,Gutekunst,5.352,503.603,163.2100149,71281.97403,873.5,40,5
Z-248I,Gutekunst,4.433,601.763,197.0448906,86059.35597,873.5,40,5
Z-248X,Gutekunst,4.4,606.031,198.5227273,86704.80114,873.5,40,5
Z-249I,Gutekunst,3.667,721.262,238.2056177,104036.3035,873.5,40,5
Z-249X,Gutekunst,3.644,725.53,239.7091109,104692.9542,873.5,40,5
Z-250I,Gutekunst,3.194,823.69,273.4815279,119443.0573,873.5,40,5
Z-250X,Gutekunst,3.177,827.958,274.9449166,120082.1923,873.5,40,5
Z-251I,Gutekunst,2.776,943.189,314.6613833,137428.3591,873.5,40,5
Z-251X,Gutekunst,2.763,947.457,316.1418748,138074.9638,873.5,40,5
Z-252I,Gutekunst,2.415,1079.759,361.6977226,157971.4803,873.5,40,5
Z-252X,Gutekunst,2.405,1084.027,363.2016632,158628.3264,873.5,40,5
Z-253HI,Gutekunst,32.6,173.761,34.78527607,19723.25153,1134,30,5
Z-253HX,Gutekunst,31.96,176.81,35.48185232,20118.21026,1134,30,5
Z-253I,Gutekunst,2.137,1216.33,408.7505849,178521.818,873.5,40,5
Z-253JI,Gutekunst,19.87,271.312,57.07096125,32359.23503,1134,30,5
Z-253JX,Gutekunst,19.63,274.36,57.76872134,32754.865,1134,30,5
Z-253X,Gutekunst,2.129,1220.597,410.2865195,179192.6374,873.5,40,5
Z-254I,Gutekunst,14.818,356.668,76.52854636,43391.68579,1134,30,5
Z-254X,Gutekunst,14.685,359.717,77.22165475,43784.67824,1134,30,5
Z-255I,Gutekunst,12.164,429.831,93.22591253,52859.0924,1134,30,5
Z-255X,Gutekunst,12.074,432.879,93.9208216,53253.10585,1134,30,5
Z-256I,Gutekunst,10.062,515.187,112.7012522,63901.61002,1134,30,5
Z-256X,Gutekunst,10,518.236,113.4,64297.8,1134,30,5
Z-257I,Gutekunst,8.763,588.35,129.4077371,73374.18692,1134,30,5
Z-257X,Gutekunst,8.717,591.398,130.0906275,73761.3858,1134,30,5
Z-258I,Gutekunst,7.617,673.706,148.8775108,84413.54864,1134,30,5
Z-258X,Gutekunst,7.581,676.755,149.5844875,84814.40443,1134,30,5
Z-259I,Gutekunst,6.626,771.256,171.1439783,97038.63568,1134,30,5
Z-259X,Gutekunst,6.599,774.305,171.8442188,97435.67207,1134,30,5
Z-260HI,Gutekunst,4.6,458.348,168.3695652,65201.11413,774.5,60,5.5
Z-260HX,Gutekunst,4.51,466.418,171.72949,66502.24501,774.5,60,5.5
Z-260I,Gutekunst,5.863,868.807,193.4163398,109667.0646,1134,30,5
Z-260JI,Gutekunst,2.8,715.666,276.6071429,107116.1161,774.5,60,5.5
Z-260JX,Gutekunst,2.77,723.736,279.6028881,108276.2184,774.5,60,5.5
Z-260X,Gutekunst,5.842,871.855,194.1116056,110061.2804,1134,30,5
Z-270I,Gutekunst,2.094,940.819,369.8662846,143230.7187,774.5,60,5.5
Z-270X,Gutekunst,2.075,948.889,373.253012,144542.2289,774.5,60,5.5
Z-271I,Gutekunst,1.719,1133.807,450.5526469,174476.5125,774.5,60,5.5
Z-271X,Gutekunst,1.706,1141.878,453.985932,175806.0522,774.5,60,5.5
Z-272I,Gutekunst,1.422,1358.961,544.6554149,210917.8094,774.5,60,5.5
Z-272X,Gutekunst,1.413,1367.031,548.1245577,212261.235,774.5,60,5.5
Z-273I,Gutekunst,1.238,1551.949,625.6058158,242265.8522,774.5,60,5.5
Z-273X,Gutekunst,1.232,1560.02,628.6525974,243445.7183,774.5,60,5.5
Z-274I,Gutekunst,1.076,1777.103,719.795539,278740.8225,774.5,60,5.5
Z-274X,Gutekunst,1.071,1785.173,723.155929,280042.1335,774.5,60,5.5
Z-275I,Gutekunst,0.936,2034.42,827.457265,320432.8259,774.5,60,5.5
Z-275X,Gutekunst,0.933,2042.491,830.1178992,321463.1565,774.5,60,5.5
Z-276HI,Gutekunst,8.46,374.247,108.8888889,50154.22222,921.2,50,5.5
Z-276HX,Gutekunst,8.29,380.837,111.1218335,51182.71653,921.2,50,5.5
Z-276I,Gutekunst,0.829,2291.738,934.2581423,361791.4656,774.5,60,5.5
Z-276JI,Gutekunst,5.16,584.351,178.5271318,82229.5969,921.2,50,5.5
Z-276JX,Gutekunst,5.09,590.941,180.9823183,83360.4558,921.2,50,5.5
Z-276X,Gutekunst,0.828,2300.803,935.3864734,362228.4118,774.5,60,5.5
Z-277I,Gutekunst,3.847,768.192,239.4593189,110294.9623,921.2,50,5.5
Z-277X,Gutekunst,3.812,774.781,241.6579224,111307.639,921.2,50,5.5
Z-278I,Gutekunst,3.158,925.769,291.7036099,134358.6827,921.2,50,5.5
Z-278X,Gutekunst,3.134,932.359,293.9374601,135387.5941,921.2,50,5.5
Z-279I,Gutekunst,2.612,1109.61,352.6799387,162444.3798,921.2,50,5.5
Z-279X,Gutekunst,2.596,1116.2,354.853621,163445.5778,921.2,50,5.5
Z-280I,Gutekunst,2.275,1267.188,404.9230769,186507.5692,921.2,50,5.5
Z-280X,Gutekunst,2.263,1273.777,407.0702607,187496.5621,921.2,50,5.5
Z-281I,Gutekunst,1.977,1451.029,465.958523,214620.4957,921.2,50,5.5
Z-281X,Gutekunst,1.968,1457.618,468.0894309,215601.9919,921.2,50,5.5
Z-282I,Gutekunst,1.72,1661.132,535.5813953,246688.7907,921.2,50,5.5
Z-282X,Gutekunst,1.713,1667.722,537.7699942,247696.8593,921.2,50,5.5
Z-283HI,Gutekunst,18.16,290.147,62.44493392,35406.27753,1134,40,5.5
Z-283HX,Gutekunst,17.8,295.255,63.70786517,36122.35955,1134,40,5.5
Z-283I,Gutekunst,1.522,1871.236,605.2562418,278781.025,921.2,50,5.5
Z-283JI,Gutekunst,11.07,453.036,102.4390244,58082.92683,1134,40,5.5
Z-283JX,Gutekunst,10.94,458.145,103.6563071,58773.12614,1134,40,5.5
Z-283X,Gutekunst,1.517,1877.826,607.2511536,279699.8813,921.2,50,5.5
Z-284I,Gutekunst,8.255,595.564,137.3712901,77889.5215,1134,40,5.5
Z-284X,Gutekunst,8.181,600.673,138.6138614,78594.05941,1134,40,5.5
Z-285I,Gutekunst,6.777,717.731,167.3306773,94876.49402,1134,40,5.5
Z-285X,Gutekunst,6.726,722.84,168.5994648,95595.89652,1134,40,5.5
Z-286I,Gutekunst,5.605,860.26,202.3193577,114715.0758,1134,40,5.5
Z-286X,Gutekunst,5.571,865.368,203.5541195,115415.1858,1134,40,5.5
Z-287I,Gutekunst,4.882,982.427,232.2818517,131703.8099,1134,40,5.5
Z-287X,Gutekunst,4.856,987.535,233.5255354,132408.9786,1134,40,5.5
Z-288I,Gutekunst,4.243,1124.955,267.2637285,151538.5341,1134,40,5.5
Z-288X,Gutekunst,4.224,1130.064,268.4659091,152220.1705,1134,40,5.5
Z-289I,Gutekunst,3.691,1287.844,307.233812,174201.5714,1134,40,5.5
Z-289X,Gutekunst,3.676,1292.953,308.4874864,174912.4048,1134,40,5.5
Z-290I,Gutekunst,3.266,1450.734,347.2137171,196870.1776,1134,40,5.5
Z-290X,Gutekunst,3.255,1455.842,348.3870968,197535.4839,1134,40,5.5
Z-298I,Gutekunst,4.96,702.9,195.2620968,94555.67036,968.5,70,6.3
Z-298X,Gutekunst,4.87,715.271,198.8706366,96303.10575,968.5,70,6.3
Z-299I,Gutekunst,3.02,1097.511,320.6953642,155296.7301,968.5,70,6.3
Z-299X,Gutekunst,2.99,1109.882,323.9130435,156854.8913,968.5,70,6.3
Z-300I,Gutekunst,2.258,1442.795,428.9193977,207704.2183,968.5,70,6.3
Z-300X,Gutekunst,2.237,1455.166,432.9459097,209654.0568,968.5,70,6.3
Z-301I,Gutekunst,1.853,1738.753,522.6659471,253100.9849,968.5,70,6.3
Z-301X,Gutekunst,1.84,1751.124,526.3586957,254889.1984,968.5,70,6.3
Z-302I,Gutekunst,1.533,2084.038,631.7677756,305933.5453,968.5,70,6.3
Z-302X,Gutekunst,1.524,2096.408,635.4986877,307740.2395,968.5,70,6.3
Z-303I,Gutekunst,1.335,2379.996,725.4681648,351307.9588,968.5,70,6.3
Z-303X,Gutekunst,1.328,2392.366,729.2921687,353159.7327,968.5,70,6.3
Z-304I,Gutekunst,1.161,2725.28,834.1946598,403958.764,968.5,70,6.3
Z-304X,Gutekunst,1.155,2737.651,838.5281385,406057.2511,968.5,70,6.3
Z-305I,Gutekunst,1.01,3119.891,958.9108911,464352.599,968.5,70,6.3
Z-305X,Gutekunst,1.005,3132.261,963.681592,466662.8109,968.5,70,6.3
Z-306HI,Gutekunst,8.29,592.555,135.3437877,75927.8649,1122,60,6.3
Z-306HX,Gutekunst,8.12,602.984,138.1773399,77517.48768,1122,60,6.3
Z-306I,Gutekunst,0.893,3514.501,1084.546473,525191.6293,968.5,70,6.3
Z-306JI,Gutekunst,5.05,925.217,222.1782178,124641.9802,1122,60,6.3
Z-306JX,Gutekunst,4.99,935.646,224.8496994,126140.6814,1122,60,6.3
Z-306X,Gutekunst,0.89,3526.872,1088.202247,526961.9382,968.5,70,6.3
Z-307I,Gutekunst,3.769,1216.297,297.6916954,167005.0411,1122,60,6.3
Z-307X,Gutekunst,3.735,1226.726,300.4016064,168525.3012,1122,60,6.3
Z-308I,Gutekunst,3.094,1465.794,362.6373626,203439.5604,1122,60,6.3
Z-308X,Gutekunst,3.071,1476.222,365.3533051,204963.2042,1122,60,6.3
Z-309I,Gutekunst,2.559,1756.873,438.4525205,245971.864,1122,60,6.3
Z-309X,Gutekunst,2.543,1767.302,441.2111679,247519.4652,1122,60,6.3
Z-310I,Gutekunst,2.229,2006.37,503.3647376,282387.6178,1122,60,6.3
Z-310X,Gutekunst,2.217,2016.799,506.0893099,283916.1028,1122,60,6.3
Z-311I,Gutekunst,1.937,2297.45,579.2462571,324957.1502,1122,60,6.3
Z-311X,Gutekunst,1.928,2307.878,581.9502075,326474.0664,1122,60,6.3
Z-312I,Gutekunst,1.685,2630.112,665.8753709,373556.0831,1122,60,6.3
Z-312X,Gutekunst,1.678,2640.541,668.6531585,375114.4219,1122,60,6.3
Z-313HI,Gutekunst,15.38,482.209,86.54096229,57593.0104,1331,50,6.3
Z-313HX,Gutekunst,15.08,490.696,88.26259947,58738.75995,1331,50,6.3
Z-313I,Gutekunst,1.491,2962.774,752.5150905,422160.9658,1122,60,6.3
Z-313JI,Gutekunst,9.38,752.923,141.8976546,94432.88913,1331,50,6.3
Z-313JX,Gutekunst,9.26,761.41,143.7365011,95656.64147,1331,50,6.3
Z-313X,Gutekunst,1.486,2973.203,755.0471063,423581.4266,1122,60,6.3
Z-314I,Gutekunst,6.993,989.798,190.3331903,126666.7382,1331,50,6.3
Z-314X,Gutekunst,6.93,998.285,192.0634921,127818.254,1331,50,6.3
Z-315I,Gutekunst,5.74,1192.834,231.8815331,154317.1603,1331,50,6.3
Z-315X,Gutekunst,5.698,1201.321,233.5907336,155454.6332,1331,50,6.3
Z-316I,Gutekunst,4.748,1429.709,280.3285594,186558.6563,1331,50,6.3
Z-316X,Gutekunst,4.719,1438.195,282.0512821,187705.1282,1331,50,6.3
Z-317I,Gutekunst,4.136,1632.744,321.8085106,214163.5638,1331,50,6.3
Z-317X,Gutekunst,4.113,1641.231,323.608072,215361.1719,1331,50,6.3
Z-318I,Gutekunst,3.594,1869.619,370.3394546,246460.9071,1331,50,6.3
Z-318X,Gutekunst,3.578,1878.106,371.9955282,247563.024,1331,50,6.3
Z-319I,Gutekunst,3.127,2140.333,425.6475855,283268.4682,1331,50,6.3
Z-319X,Gutekunst,3.114,2148.82,427.4245344,284451.0276,1331,50,6.3
Z-320HI,Gutekunst,33.54,351.153,48.65831843,39705.18784,1632,40,6.3
Z-320HX,Gutekunst,32.88,378.409,49.6350365,40502.18978,1632,40,6.3
Z-320I,Gutekunst,2.767,2411.047,481.0263824,320123.0575,1331,50,6.3
Z-320JI,Gutekunst,20.45,580.63,79.80440098,65120.3912,1632,40,6.3
Z-320JX,Gutekunst,20.2,587.174,80.79207921,65926.33663,1632,40,6.3
Z-320X,Gutekunst,2.757,2419.534,482.771128,321284.1857,1331,50,6.3
Z-321I,Gutekunst,15.248,763.3,107.0304302,87336.83106,1632,40,6.3
Z-321X,Gutekunst,15.11,769.845,108.0079418,88134.48048,1632,40,6.3
Z-322I,Gutekunst,12.517,919.874,130.3826796,106392.2665,1632,40,6.3
Z-322X,Gutekunst,12.424,926.419,131.3586607,107188.6671,1632,40,6.3
Z-323I,Gutekunst,10.353,1102.544,157.635468,128630.5419,1632,40,6.3
Z-323X,Gutekunst,10.29,1109.089,158.6005831,129418.0758,1632,40,6.3
Z-324I,Gutekunst,9.018,1259.119,180.9713906,147672.6547,1632,40,6.3
Z-324X,Gutekunst,8.969,1265.663,181.9600847,148479.4291,1632,40,6.3
Z-325I,Gutekunst,7.838,1441.789,208.2163817,169904.5675,1632,40,6.3
Z-325X,Gutekunst,7.801,1448.333,209.2039482,170710.4217,1632,40,6.3
Z-326I,Gutekunst,6.818,1650.554,239.3663831,195322.9686,1632,40,6.3
Z-326X,Gutekunst,6.791,1657.099,240.318068,196099.5435,1632,40,6.3
Z-327I,Gutekunst,6.033,1859.32,270.512183,220737.9413,1632,40,6.3
Z-327X,Gutekunst,6.012,1865.865,271.4570858,221508.982,1632,40,6.3
Z-329I,Gutekunst,3.06,1552.771,369.9346405,209383.0065,1132,80,7
Z-329X,Gutekunst,3.03,1570.217,373.5973597,211456.1056,1132,80,7
Z-330I,Gutekunst,2.286,2041.283,495.1881015,280276.4654,1132,80,7
Z-330X,Gutekunst,2.266,2058.729,499.5586937,282750.2207,1132,80,7
Z-331I,Gutekunst,1.877,2460.007,603.0900373,341348.9611,1132,80,7
Z-331X,Gutekunst,1.863,2477.454,607.6221149,343914.117,1132,80,7
Z-332I,Gutekunst,1.553,2948.519,728.9117836,412564.0695,1132,80,7
Z-332X,Gutekunst,1.543,2965.966,733.6357745,415237.8483,1132,80,7
Z-333I,Gutekunst,1.352,3367.244,837.2781065,473899.4083,1132,80,7
Z-333X,Gutekunst,1.345,3384.691,841.6356877,476365.7993,1132,80,7
Z-334I,Gutekunst,1.175,3855.756,963.4042553,545286.8085,1132,80,7
Z-334X,Gutekunst,1.17,3873.203,967.5213675,547617.094,1132,80,7
Z-335I,Gutekunst,1.022,4414.055,1107.632094,626919.7652,1132,80,7
Z-335X,Gutekunst,1.018,4431.502,1111.984283,629383.1041,1132,80,7
Z-336HI,Gutekunst,4.77,1340.062,269.8113208,173623.5849,1287,70,7
